,category_name,parent_cat_name,Entity,complaint words,output sequence,complaint_description,predicted_label
424,Traffic and Road Safety - Others,Traffic and Road Safety,traffic,street sellers blocking traffic,"1,2,3,4,5","Street sellers blocking the traffic on the ring road:\nThere are number of street sellers sell fresh juice on the main road(Outer ring road)  are blocking the free flow of traffic and causing severe accidents to bikers and small vehicles,   There use to be minimum four to five handcarts on both directions of the road. They are really dangerous to the motorists and can cause fatalities.",Traffic
425,Traffic,Traffic and Road Safety,footpath,footpath driving,"1,2,3,4,5,6,7","Two wheeler drivers constantly use the footpath on the road between Thubarahalli bus stop and Kundalahalli Gate signal, inconveniencing pedestrians. I\'ve been honked at, glared at and almost crushed by motorists who merrily drive on the footpath without caring for the people who walk on it. Here are some pics I\'ve taken from my car and in the night while walking with my kids. Hope some action is taken against these folks",Footpaths
426,Potholes,Maintenance of Roads and Footpaths,roads,road worse,"13,14,15,16,17,18,19,20,21 ",The condition of the road is getting worse day by day with huge potholes which is making it difficult to travel on this stretch. Even though some months back some patch work was done the issue has resurfaced making it very difficult to travel. Often this stretch has got lot of traffic jams and I would suggest traffic police men to be present in key areas. The 2 key places are Varthur village and the Varthur market.\nThe stretch of Varthur market is very narrow and no vehicles should be allowed to be parked in that stretch.,Potholes
427,Traffic,Traffic and Road Safety,traffic,huge traffic,"12,13",I travel each day from Kalyan nagar to Belendur. There is huge traffic which starts from Total mall to Multiplex stop which frustrates me a lot to travel. The signals are so long that i get tired to sitting in the bus. It takes me 2.5 hours to travel one way. Please can traffic issue be sorted at the earliest in this area.,Traffic
428,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"13,14","Around Indian Academy, Regency magnum and opposite to Reliance Fresh we have major potholes which never gets fixed. In the past 6 years they have always been neglected. Rains make the situations worse in the whole stretch.\nIt is not just unpleasant to our eyes but are equally risky!",Potholes
429,Garbage,Garbage and Unsanitary Practices,garbage,garbage dumped,"3,4,5,6","Lot of domestic garbage being dumped at 2 cross 2 block opposite Maiyya hospital ln the first 60 feet in addition to the construction materials n debris. Worsened by cowdung dumping nn intolerable stench ,flies n rodents.\n   Immediately after garbage collected public start dumping again...height of public apathy plus cowshed..on road adding to the woes.    Garbage collection auto comes fairly regularly to this road,but collection is incomplete if not supervised by concerned officials.\n     Antiseptic s,bleaching powder though provided by BBMP not used, for the purpose provided. Also he demands lot of money to collect / clear garbage.",Garbage
430,BMTC - Need new Bus Route,Public Transport - BMTC,bus,increase frequency of buses,"23,24,25,26,27,28,29 ","Hi,\n\nThere\'s a bus route \""NICE 2A\"" which goes to wipro gate via electronic city, I please request you to at least increase the frequency of the bus route \""NICE 2A\"", in between 5:00am to 6:00am in the morning from Kumaraswamy Layout 1st Stage, Police Station Main Road and also in the evening from 5:00pm to 6:00pm from Electronic City.\n\nHope my request will be considered.",BMTC - Need new Bus Route
431,Potholes,Maintenance of Roads and Footpaths,roads,asphalting road,"16,17 ",Dear concerned officer. This is utter failure & in efficiency of BBMP Once again in asphalting road connecting to my road. Pl repair immediately. It is shame on you to do such a low quality work after taking lot of road tax from the public.  Pl repair this immediately.,Potholes
432,Bad Roads,Maintenance of Roads and Footpaths,roads,slip over the road,"48,49,50,51","When you come from domulur to ejipura, and take left at the ejipura signal to go to ejipura bus stand, the left U-turn road was very bad for more than year. I have felt very bad, and during raining season, it is very danger for people to slip over the road.",Bad Roads
433,Potholes,Maintenance of Roads and Footpaths,Pothole,lot many potholes,"3,4,5",There are lot many potholes in Satyam Street 2nd cross Behind Govt High School which gets filled up with water during rain and causes huge inconvenience to users. Please take appropriate action immediately.,Potholes
434,Bad Roads,Maintenance of Roads and Footpaths,sewage,sewage cleaning,"2,3 ","AECS Sewage cleaning creates more mess. BWSSB had done sewage cleaning at this junction. For that they they damaged the road to the open the sewage lanes. It is not closed correctly and stones , slabs are lying on the junction. Around 30 school bus use the junction to turn and 100 of kids board school bus here everyday. This creating huge inconvenience and safety for the kids as well as other users of the road.",Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover
435,Water Leakage,Water Supply and Services,water,water leakage,"5,6 ",There has been an water leakage for more than a month in 4th cross 2nd Block HMT layout. The apathy here is the water leakage is very much near to the BBMP & BWSSB offices near the Anjaneya Temple and nobody turns up to even provide a temporary solution. The wastage of Cauvery water is really disheartening.,Water Leakage
436,Electricity,Electricity and Power Supply,transformer,transformer bursts,"1,8","Transformer in 10th cross new manjunatha layout, bursts more than 5-10 times every month. Can please be steps taken to move it to isolated place. That is creating hazard.",Need New Toilets 
437,Potholes,Maintenance of Roads and Footpaths,roads,unwalkable,"2,17,18,19","The road leading to Green Glen Layout and Sobha Apartments is virtually non existent. It is un-walkable, and un-drivable. Every year some patch work is done which wears off in a few months. I am not sure why this stretch continues to the ignored year after year. We have complained to the authorities earlier but nothing has happened. It is high time that a proper road is laid here.",Bad Roads
438,Potholes,Maintenance of Roads and Footpaths,Pothole,ridden with potholes,"25,26,27 ","Hello, The entire stretch of the road from Tolgate bus stop on Magadi Road until the Magadi Road police station (opposite Pramod Cinemas) is ridden with potholes. The metro work is completed there, so I think this is a good time to lay the road. Regards, Gururaj",Potholes
439,Traffic,Traffic and Road Safety,traffic,severe traffic,"1,2 ","SEVERE TRAFFIC :MARATHAHALLI TO ITPL The whole stretch from Marathahalli to ITPL is in a mess due to an exponential growth in traffic. It takes about 15-30 minutes to travel from Spice Garden and clear Kundalahalli signal. Further, the next jam startes from COSMOS mall upto graphite junction. It is taking more than 1 hour to travel 5 Km .Please formulate unidirectional flow of traffic from marathahalli to whitefield in the mornings and vice versa in the evenings to ease out congestion.",Traffic
440,Potholes,Maintenance of Roads and Footpaths,Pothole,full of potholes,"16,17,18,19,20","Under the Deepanjali Nagar Metro Station and just from the entrance to Deepanjali Nagar, the roads are full of potholes and uncleared construction debris. Causing unwanted traffic jams in that junction. Kindly clear that mess and make place for free flow of traffic",Potholes
441,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dog,"2,3 ",One Stray dog entered our compound and it is almost in its last days / hours / minutes. Please help to take it out. URGENT thanks,Stray Dogs
442,Flooding of Roads and Footpaths,Maintenance of Roads and Footpaths,Pothole,many potholes,"10,11 ",The road beneath the Attiguppe Nagar Metro Station has many Pothholes. Its difficult to commute during the normal hours itself and this becomes even worse when its raining. Please fix this road or atleast a temporary fix would help as thousands of people use this road.,Potholes
443,Traffic,Traffic and Road Safety,bus,"The bus will either breakdown or their will be no AC,","9,10,11,12,13,14,15,16,17,18,19 ","Whenever I travel using AC BMTC bus service, The bus will either breakdown or their will be no AC,\n\nexample on 19th april 2016 , MY bus  broke down at vaidei circle\nKA 01 FA 431",BMTC - Others
444,Garbage,Garbage and Unsanitary Practices,garbage,garbage being dumped,"7.8,9","Agara Lake, near Ayappa swamy temple, garbage are dumped daily and no action taken. sometimes it is being burnt instead of clearing or stopping from dumping near the lake.",Garbage
445,Potholes,Maintenance of Roads and Footpaths,Pothole,full of pot hole,"6,7,8,9 ","Thanisandra main road is having lot of pot holes and lot of mud thrown near the footpath making it very difficult for people to travel.\nEven thou the road is big, due to pot holes, it is being used as a single lane load causing lot of traffic in peak hours.\nRequest for putting a new road.\n\nAffected : People coming and going to Manyata Tech park using the gate No 5 (On daily basis) & the people going to Elements Malls",Traffic
446,Garbage,Garbage and Unsanitary Practices,Pothole,potholes,"1,2 ",Garbage pile up10 Th main under BWSSB pipe line and along stray dog menance at night.,Garbage
447,Traffic,Traffic and Road Safety,garbage,garbage piled,"10,11 ",Near JSS college on Uttarahalli main road there are frequent potholes. It is patched every couple of months but because of water these potholes again comes up. Instead of wasting money again and again BBMP should find a permanent solution.,Potholes
448,Electricity,Electricity and Power Supply,street light,Street  light not working,"1,2,3,4 ",Street  light not working,"Trees, Parks and Playgrounds - Others"
449,Poor Maintenance of Buildings and Heritage Sites,Defacement of Buildings and Public Property,help desk,help desk not active,"1,2,3,4,5","Help desk is not active in vat office , two Computer with table is un used",Air Pollution
450,Bad Roads,Maintenance of Roads and Footpaths,roads,road has been dug,"3,4,5,6",Sacred hearts road has been dug up and is causing inconvenience while travelling.,Bad Roads
451,Bad Roads,Maintenance of Roads and Footpaths,roads,made tar road,"16,17,18,19","The road that leads to Chrysalis High School in Seegahalli, Kadugodi was supposed to be made a tar road as agreed by the government officials, they came and started the initial work but left it without completing the work. this had made the kuccha road even more deteriorated, difficult for school school children to commute.",Illegal posters and Hoardings
452,Garbage,Garbage and Unsanitary Practices,roads,liier in parking side,"1,2,3,4,5","Litter In the parking side close to the petrol bunk on 80 feet road, right side of S V TOWERS koramangala",Parking Violations
453,Parking Violations,Traffic and Road Safety,roads,commuting nightmare,"1,8","Commuting through this road has become a nightmare . Parking on Both sides by 3M,Yashomati,snapfitness & domios pizza customers.",Parking Violations
454,Bad Roads,Maintenance of Roads and Footpaths,roads,road in bad condition,"1,2,3,4,5",Roads are in bad condition on cunningam road opposite to Ammis Biryani and near Sigma Mall.,Bad Roads
455,Noise Pollution,Pollution,dog,dog barks,"10,11,12,13 ",This is my Neighbour... they have an non descriptive dog breed...which barks as early as 4 30 am. it has become a nuisance to the surrounding houses... including me... our efforts have become futile even after several requests to the neighbor ..pls look into this matter ..,Stray Dogs
456,Potholes,Maintenance of Roads and Footpaths,Pothole,filled with potholes,"17,18,19 ","The road from Kadugodi flyover up to Delhi mahal hotel, near Keerthi Residency is in tatters, filled with potholes and also has been dug up. With the rains the holes have become large enough to break car bumpers and topple two wheelers.",Potholes
457,Bad Roads,Maintenance of Roads and Footpaths,roads,very bad roads,"29,30,31 ","The road stretch on TC Palya Main Road from near Signal (Auto Stand) till Anandpura Circle is worth seeing and Specially designed to Test Ride new Vehicles with Very Bad roads - extra / additional speed breakers i.e, cavities / cuts in the road.... And the speed breakers which are already there don\'t have the White Stripes which are very much required for proper visibility ...... This has been there for nearly 6 months .... and getting worse day by day ..... Kindly look into it to fix this .....",Bad Roads
458,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1","Garbage  in the end of 5th cross, near welding shop,",Garbage
459,New Bus Shelters,Public Transport - BMTC,bus,no bus shelter,"1,2,3 ","No bus shelter at Arekere gate, bannergatta road",New Bus Shelters
460,Garbage,Garbage and Unsanitary Practices,garbage,garbage collection is not good,"1,2,3,4,5 ",Garbage colection is not good. Roads are un clean.,Garbage
461,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,2,3 ",Road in potholes,Potholes
462,Stray Dogs,"Stray Animals, Insects",stray dogs,stray dogs,"1,2 ",Stray Dogs are troubling public,Stray Dogs
463,Traffic,Traffic and Road Safety,footpath,parking on footpath,"1,2,3 ",Parking on footpath Hayes Road,Footpaths
464,Garbage,Garbage and Unsanitary Practices,garbage,garabage,"1,1",Garbage is not picked,Garbage
465,Traffic,Traffic and Road Safety,helmet,no helmet,"1,2 ",No helmet,Traffic
466,Garbage,Garbage and Unsanitary Practices,garbage,garbage dump,"5,6 ",Please clean up the Garbage Dumps from streets,Garbage
467,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,2 ",Garbage lying all over Shesadripuram. There are so many dumps next to the Home Minister's residence. It would be nice if the home minister came out for a morning walk and took the BBMP staff to task.,Garbage
468,Repair of streetlights,Maintenance of Roads and Footpaths,street light,strretlight not working,"4,5,6,7 ",Wind Tunnel Road Street lights not working,"Trees, Parks and Playgrounds - Others"
469,Repair of streetlights,Maintenance of Roads and Footpaths,street light,no streetlight,"3,4 ",There is no streetlight in Rayasandra road,Need New Streetlights
470,Potholes,Maintenance of Roads and Footpaths,Pothole,full of dust and patholes,"4,5,6,7,8",The road is full of dust and patholes.,Potholes
471,Bad Roads,Maintenance of Roads and Footpaths,roads,Road never repaired,"1,2,3 ",Road never repaired,Bad Roads
472,Garbage,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbage,Garbage
473,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,1",Potholes,Potholes
474,No Sewage Drains,Sewage and Storm Water Drains,roads,Flooded Road,"1,2 ",Flooded Road,No Sewage Drains
475,Potholes,Maintenance of Roads and Footpaths,Pothole,potholes,"1,2,3 ",Pothole on road just like speedbraker,Potholes
476,Diseases,Garbage and Unsanitary Practices,garbage,garbage,"1,1",Garbage on the main road.,Garbage
477,Potholes,Maintenance of Roads and Footpaths,Pothole,Deep path hole,"1,2,3 ",Deep path hole,Potholes
478,Traffic,Traffic and Road Safety,skywalk,sky walk required,"1,2,3 ",Sky walk required in Madiwala junction,Traffic
479,Repair of streetlights,Maintenance of Roads and Footpaths,street light,Street lights not working,"1,2,3,4 ",Street lights not working for one week,"Trees, Parks and Playgrounds - Others"
480,Repair of streetlights,Maintenance of Roads and Footpaths,street light,Streetlight fuse,"1,2 ",Streetlight fuse,"Trees, Parks and Playgrounds - Others"
481,Traffic,Traffic and Road Safety,parking,Wrong parking,"1,2 ",Wrong parking,Parking Violations
482,Garbage,Garbage and Unsanitary Practices,garbage,Regular burning of garbage,"1,2,3,4 ",Regular burning of garbage,Garbage
483,Diseases,Garbage and Unsanitary Practices,cat,Dead cat at residential place,"1,2 ",Dead cat at residential place,Diseases
484,Garbage,Garbage and Unsanitary Practices,garbage,Lot of garbage on road,"1,2,3 ",Lot of garbage on road,Garbage
485,Potholes,Maintenance of Roads and Footpaths,Pothole,Potholes,"1,1",Potholes,Potholes
486,Bad Roads,Maintenance of Roads and Footpaths,roads,Roads not proper,"1,2,3 ",Roads not proper,Illegal posters and Hoardings
487,Traffic,Traffic and Road Safety,traffic,Traffic is too high need,"1,2,3,4 ",Traffic is too high need a signal here,Traffic
488,Repair of streetlights,Maintenance of Roads and Footpaths,street light,Street lights are always on..,"1,2,4,5",Street lights are always on..,"Trees, Parks and Playgrounds - Others"
489,Garbage,Garbage and Unsanitary Practices,garbage,dump of garbage,"9,10,11 ",The road lane near hindu symmety has a dump of garbage that is making situation worse when it rain,Garbage
490,Water Supply and Services - Others,Water Supply and Services,water,no proper water supply,"3,4,5,6 ",THere is no proper water supply,Water Supply 
491,Riding Without A Helmet,Traffic and Road Safety,helmet,Riding without helmet,"1,2,3 ",Riding without helmet,Air Pollution
492,Need New Streetlights,Maintenance of Roads and Footpaths,street light,Damaged street light not fixed,"1,2,3 ",Damaged street light not fixed for past 6 months,Repair of streetlights
493,Electricity,Electricity and Power Supply,street light,Street light is not there,"1,2,3,4,5 ",Street light is not there,"Trees, Parks and Playgrounds - Others"
494,Potholes,Maintenance of Roads and Footpaths,roads,Bad road conditions,"1,2 ",Bad road conditions,Bad Roads
495,Garbage,Garbage and Unsanitary Practices,garbage,Garbage dumping,"1,2 ",Garbage dumping,Garbage
496,Repair of streetlights,Maintenance of Roads and Footpaths,street light,The streetlight has not installed,"1,2,3,4,5",The streetlight has not installed after repetitive complaints with concerned department. We are staying without streetlight from almost 2 years.\n\nI am hoping this time some actions will be taken care.,Need New Streetlights
497,Traffic,Traffic and Road Safety,traffic,Traffic,"1,1",Traffic,Traffic
498,Bad Roads,Maintenance of Roads and Footpaths,Pothole,Pot holes,"1,2 ",Pot holes,Potholes
499,Footpaths,Maintenance of Roads and Footpaths,footpath,Footpath Driving,"1,2 ",Footpath Driving,Footpaths
500,Footpaths,Maintenance of Roads and Footpaths,footpath,Driving on Footpath,"1,2,3 ",Driving on Footpath,Footpaths
501,Bad Roads,Maintenance of Roads and Footpaths,roads,no TAR road,"3,4,5",There is no TAR road to my home,Bad Roads
502,Bad Roads,Maintenance of Roads and Footpaths,roads,Need good roads,"1,2,3 ",Need good roads,Illegal posters and Hoardings
503,Traffic,Traffic and Road Safety,traffic,Obstructing traffic,"1,2 ",Obstructing traffic,Traffic
504,Potholes,Maintenance of Roads and Footpaths,water,Water logging,"1,2 ",Water logging in front of our house,Sewage and Storm Water Drains - Others
505,Sewage and Storm Water Drains - Others,Sewage and Storm Water Drains,manhole,Manhole overflowing,"1,2 ",Manhole overflowing,Manholes
